OTU,Phylum,Class,Order,Family,Genus,Species,total,number,OTU_id
AB486869.1.1341,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 8,uncultured bacterium,387,B2112,B2112_Clostridium.sensu.stricto.8
FPLP01001865.1.1389,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,Zoogloea,unidentified,387,B2113,B2113_Zoogloea
AB486353.1.1362,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unidentified,unidentified,386,B2114,B2114_f_Lachnospiraceae
DQ450810.1.1348,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,unidentified,386,B2115,B2115_Geobacter
JQ894900.1.1514,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,unidentified,386,B2116,B2116_Pseudomonas
EF018571.1.1355,Chloroflexi,Ktedonobacteria,C0119,uncultured Chloroflexi bacterium,uncultured Chloroflexi bacterium,uncultured Chloroflexi bacterium,385,B2117,B2117_uncultured.Chloroflexi.bacterium
JX186571.1.1503,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Undibacterium,unidentified,385,B2118,B2118_Undibacterium
AB487449.1.1348,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 12,Clostridium sp. E13,384,B2119,B2119_Clostridium.sensu.stricto.12
GDHW01147821.1.1431,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,unidentified,unidentified,384,B2120,B2120_f_Burkholderiaceae
JN540181.1.1480,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,uncultured Desulfuromonadales bacterium,384,B2121,B2121_Geobacter
